x,y,t
-102.6700073949076,-12.614539746799984,p
-102.67596239307802,-12.805413475340078,p
-102.77179465052453,-12.833982312080575,p
-102.77271596956966,-13.074577405659635,p
-102.69519479566847,-13.329729633176871,p
-102.78151565656744,-13.559388137321381,p
-102.73342594430186,-13.747984372414862,p
-102.7156402412412,-13.971684311831396,p
-102.72517688577281,-13.974693034330727,p
-102.63410666982162,-14.162626258586112,p
-102.66624849905115,-14.390052068072958,p
-102.6671192715353,-14.582309588894859,p
-102.61421719898367,-14.744451125903016,p
-101.72140912733302,-14.57848888515985,p
-100.72729037256147,-14.463053882777832,p
-99.68128641449674,-14.311729839401064,p
-98.7134710738595,-14.083640824327468,p
-97.6917933318912,-13.858272706433503,p
-96.69814033918973,-13.67396306100881,p
-95.68417356820001,-13.547468962916241,p
-94.66236987006064,-13.319793940327184,p
-93.65945422027445,-13.12822771365824,p
-92.66858442133616,-12.780841701343412,p
-92.44443017708174,-12.845457708670683,p
-92.26490725488873,-12.903023507936041,p
-92.20778491872912,-13.003731568049215,p
-92.0340620600912,-13.073415131051927,p
-92.0412852374348,-13.230032048469553,p
-91.86498780847066,-13.275940301659407,p
-91.75315808290102,-13.377873711905707,p
-91.71753007212888,-13.47465568117289,p
-91.6701531476213,-13.545084586402663,p
-91.44682574300944,-13.57187616840649,p
-91.35250777492729,-13.62434140876955,p
-91.37983870772956,-13.722322806624241,p
-91.36958058114723,-13.806294737047299,p
-91.29786549003904,-13.91096811924237,p
-91.27431372745949,-14.000924611696572,p
-91.17224401045013,-14.071795541117254,p
-91.12043552579249,-14.150795337557106,p
-91.02558772206434,-14.20207353764582,p
-90.9698834281556,-14.290332388419774,p
-90.97920287413277,-14.293958395407998,p
-90.9996948686406,-14.433984935712413,p
-90.9343083812511,-14.518464962888036,p
-90.88186076438791,-14.5969311290442,p
-90.90743788578835,-14.69528008068318,p
-90.86022376088785,-14.786878409601496,p
-90.75716663669903,-14.856047312676804,p
-90.7042368349742,-14.934114853447966,p
-90.7291992215626,-15.032575132098042,p
-90.7207884006331,-15.106598056415532,p
-90.68601659242636,-15.192080854176687,p
-90.6696187165947,-15.2850883604488,p
-90.56203149569593,-15.362809009716525,p
-90.5162011945284,-15.421468661773268,p
-90.4742290340503,-15.470591954433878,p
-90.36502895261202,-15.524943382934772,p
-90.38495677399672,-15.63301154056942,p
-90.3388380838206,-15.691354756232062,p
-90.32555218622994,-15.774571472354324,p
-90.26104071892696,-15.747400337184509,p
-90.28849208685898,-15.836686596981377,p
-90.31580577328623,-15.926073832296414,p
-90.29697339620836,-15.995985126298859,p
-90.20045723144625,-16.043882602270926,p
-90.26419290859351,-16.14913173180004,p
-90.25830958000738,-16.213545700735523,p
-90.15753249406526,-16.270556393794966,p
-90.12907773511185,-16.336358720748702,p
-90.1749040960606,-16.456812365598672,p
-90.15633930509766,-16.549443005543363,p
-90.18661896369244,-16.62992423232132,p
-90.05289888354592,-16.660879751663604,p
-89.96405814688282,-16.68892591851822,p
-89.94838063155566,-16.749172239138943,p
-89.89690685761002,-16.815963966222775,p
-89.84951646318143,-16.873309550315383,p
-89.74807219467291,-16.928838446061217,p
-89.69219538622602,-17.004595780656775,p
-89.63968922426483,-17.048190636464184,p
-89.6488068447006,-17.052297824990315,p
-89.5954565780296,-17.218798649368818,p
-89.61196165534014,-17.327402298213578,p
-89.6665549881037,-17.35229342148608,p
-89.64644167410606,-17.44444307928644,p
-89.67107673466354,-17.534663594444545,p
-89.63678589635711,-17.60918296184741,p
-89.58376837628971,-17.652452711666296,p
-89.64866313539812,-17.750311316200214,p
-89.7134112908864,-17.848332810120322,p
-89.6239277120276,-17.874698780882092,p
-89.61598205200065,-17.93901141552174,p
-89.61668022078794,-17.9847193495195,p
-89.55460954335243,-18.04640316237559,p
-89.47846272733337,-18.06731584030566,p
-89.42944920720367,-18.100921233389716,p
-89.43849226910143,-18.10519007767283,p
-89.466418087815,-18.186510089233987,p
-89.44906131483799,-18.24647720382322,p
-89.35499104930645,-18.281320834708147,p
-89.33733744821839,-18.318365651915105,p
-89.36493660335866,-18.399797109391113,p
-89.35177973853902,-18.450432269922004,p
-89.30696442267589,-18.474488626554255,p
-89.29373559851223,-18.525087327808734,p
-89.28491957175521,-18.56643220173563,p
-89.27607164888437,-18.60777719837008,p
-89.26271665767896,-18.658369323453663,p
-89.25828009695297,-18.690467462205902,p
-89.17288833702055,-18.706099890400843,p
-89.15943767344518,-18.756622344810086,p
-89.118984940384,-18.771158228496294,p
-89.12797364581206,-18.775540371205885,p
-89.123441158145,-18.83042613841349,p
-89.1098720630719,-18.88092578332823,p
-89.09625506267247,-18.931421403509706,p
-89.0871217931541,-18.972697356747837,p
-89.07784683193083,-19.03682171052538,p
-88.99235713436056,-19.051879633784747,p
-88.98312821332263,-19.09310650229263,p
-88.9603488963848,-19.13908577678035,p
-88.94648425190974,-19.189496196176886,p
-88.93714840308952,-19.23071289219925,p
-88.89656555271665,-19.244892814249162,p
-88.89177032026845,-19.27690408300343,p
-88.89154470300785,-19.299736063192135,p
-88.89154470300785,-19.299736063192135,p
-88.89130955510191,-19.32257108551203,p
-88.89130955510191,-19.32257108551203,p
-88.92708509751671,-19.34046271944878,p
-88.92248927327653,-19.349650379226212,p
-88.92683416927645,-19.36331326695769,p
-88.92683416927645,-19.36331326695769,p
-88.9222343568672,-19.37250088259187,p
-88.9222343568672,-19.37250088259187,p
-88.96720479726491,-19.37202272631906,p
-88.96720479726491,-19.37202272631906,p
-88.96720479726491,-19.37202272631906,p
-88.92248927327653,-19.349650379226212,p
-88.9314323780742,-19.35412484864478,p
-88.89565995888348,-19.3362269709705,p
-88.9314323780742,-19.35412484864478,p
-88.9314323780742,-19.35412484864478,p
-88.9314323780742,-19.35412484864478,p
-88.9314323780742,-19.35412484864478,p
-88.89565995888348,-19.3362269709705,p
-88.85988753969276,-19.31832909329622,p
-88.89565995888348,-19.3362269709705,p
-88.9314323780742,-19.35412484864478,p
-88.89565995888348,-19.3362269709705,p
-88.89565995888348,-19.3362269709705,p
-88.85988753969276,-19.31832909329622,p
-88.89565995888348,-19.3362269709705,p
-88.89565995888348,-19.3362269709705,p
-88.9314323780742,-19.35412484864478,p
-88.96720479726491,-19.37202272631906,p
-89.00297721645565,-19.389920603993342,p
-88.96720479726491,-19.37202272631906,p
-88.9314323780742,-19.35412484864478,p
-88.9314323780742,-19.35412484864478,p
-88.9314323780742,-19.35412484864478,p
-88.96720479726491,-19.37202272631906,p
-88.9761479020626,-19.37649719573763,p
-88.9314323780742,-19.35412484864478,p
-88.9761479020626,-19.37649719573763,p
-88.9761479020626,-19.37649719573763,p
-88.94037548287189,-19.35859931806335,p
-88.94037548287189,-19.35859931806335,p
-88.94037548287189,-19.35859931806335,p
-88.9761479020626,-19.37649719573763,p
-88.9761479020626,-19.37649719573763,p
-88.9761479020626,-19.37649719573763,p
-89.01192032125331,-19.39439507341191,p
-89.01192032125331,-19.39439507341191,p
-89.01192032125331,-19.39439507341191,p
-88.96720479726491,-19.37202272631906,p
-88.96720479726491,-19.37202272631906,p
-88.96720479726491,-19.37202272631906,p
-88.96720479726491,-19.37202272631906,p
-89.00297721645565,-19.389920603993342,p
-89.00297721645565,-19.389920603993342,p
-89.03874963564635,-19.407818481667622,p
-89.00297721645565,-19.389920603993342,p
-88.96720479726491,-19.37202272631906,p
-89.00297721645565,-19.389920603993342,p
-88.96720479726491,-19.37202272631906,p
-89.00297721645565,-19.389920603993342,p
-89.03874963564635,-19.407818481667622,p
-89.03874963564635,-19.407818481667622,p
-89.03874963564635,-19.407818481667622,p
-89.04769274044403,-19.41229295108619,p
-89.01192032125331,-19.39439507341191,p
-89.04769274044403,-19.41229295108619,p
-89.04769274044403,-19.41229295108619,p
-89.01192032125331,-19.39439507341191,p
-89.04769274044403,-19.41229295108619,p
-89.03874963564635,-19.407818481667622,p
-89.03874963564635,-19.407818481667622,p
-89.03874963564635,-19.407818481667622,p
-89.03874963564635,-19.407818481667622,p
-89.00297721645565,-19.389920603993342,p
-88.96720479726491,-19.37202272631906,p
-89.00297721645565,-19.389920603993342,p
-88.96720479726491,-19.37202272631906,p
-89.00297721645565,-19.389920603993342,p
-89.00297721645565,-19.389920603993342,p
-89.04769274044403,-19.41229295108619,p
-89.04769274044403,-19.41229295108619,p
-89.04769274044403,-19.41229295108619,p
-89.01192032125331,-19.39439507341191,p
-89.04769274044403,-19.41229295108619,p
-89.08346515963476,-19.43019082876047,p
-89.08346515963476,-19.43019082876047,p
-89.08346515963476,-19.43019082876047,p
-89.08346515963476,-19.43019082876047,p
-89.11923757882548,-19.44808870643475,p
-89.07452205483708,-19.4257163593419,p
-89.07452205483708,-19.4257163593419,p
-89.07452205483708,-19.4257163593419,p
-89.03874963564635,-19.407818481667622,p
-89.03874963564635,-19.407818481667622,p
-89.00297721645565,-19.389920603993342,p
-89.00297721645565,-19.389920603993342,p
-88.96720479726491,-19.37202272631906,p
-89.00297721645565,-19.389920603993342,p
-89.00297721645565,-19.389920603993342,p
-88.96720479726491,-19.37202272631906,p
-88.9314323780742,-19.35412484864478,p
-88.89565995888348,-19.3362269709705,p
-88.89565995888348,-19.3362269709705,p
-88.9314323780742,-19.35412484864478,p
-88.9314323780742,-19.35412484864478,p
-88.89565995888348,-19.3362269709705,p
-88.89565995888348,-19.3362269709705,p
-88.8509444348951,-19.313854623877653,p
-88.81517201570438,-19.295956746203373,p
-88.8509444348951,-19.313854623877653,p
-88.8509444348951,-19.313854623877653,p
-88.89565995888348,-19.3362269709705,p
-88.9314323780742,-19.35412484864478,p
-88.9314323780742,-19.35412484864478,p
-88.9314323780742,-19.35412484864478,p
-88.96720479726491,-19.37202272631906,p
-88.96720479726491,-19.37202272631906,p
-88.96720479726491,-19.37202272631906,p
-88.96720479726491,-19.37202272631906,p
-88.96720479726491,-19.37202272631906,p
-88.96720479726491,-19.37202272631906,p
-89.00297721645565,-19.389920603993342,p
-89.00297721645565,-19.389920603993342,p
-88.96720479726491,-19.37202272631906,p
-88.9314323780742,-19.35412484864478,p
-88.89565995888348,-19.3362269709705,p
-88.89565995888348,-19.3362269709705,p
-88.9314323780742,-19.35412484864478,p
-88.96720479726491,-19.37202272631906,p
-89.00297721645565,-19.389920603993342,p
-89.00297721645565,-19.389920603993342,p
-89.00297721645565,-19.389920603993342,p
-88.96720479726491,-19.37202272631906,p
-88.96720479726491,-19.37202272631906,p
-88.96720479726491,-19.37202272631906,p
-88.96720479726491,-19.37202272631906,p
-88.96720479726491,-19.37202272631906,p
-89.00297721645565,-19.389920603993342,p
-89.00297721645565,-19.389920603993342,p
-89.00297721645565,-19.389920603993342,p
-88.96720479726491,-19.37202272631906,p
-88.96720479726491,-19.37202272631906,p
-88.96720479726491,-19.37202272631906,p
-88.96720479726491,-19.37202272631906,p
-88.96720479726491,-19.37202272631906,p
-88.96720479726491,-19.37202272631906,p
-88.96720479726491,-19.37202272631906,p
-88.96720479726491,-19.37202272631906,p
-88.96720479726491,-19.37202272631906,p
-88.96720479726491,-19.37202272631906,p
-88.96720479726491,-19.37202272631906,p
-88.96720479726491,-19.37202272631906,p
